,Unnamed: 0,text,date,user,location,Clean_Tweet
1320,1320,"RT @NekoKiririn: Ok I'm sorry guys, the booster shot of this vaccine got me feeling real bad. I slept all day, just woke, completely missed…",2021-12-02 06:51:06,live_kitsune,,": I ' m sorry , the booster shot of this vaccine got me feeling real bad . I slept all day , just woke , completely …"
1321,1321,"Ok I'm sorry guys, the booster shot of this vaccine got me feeling real bad. I slept all day, just woke, completely… https://t.co/fyacTqo2d8",2021-12-02 06:49:20,NekoKiririn,In your hearts 💖,"I ' m sorry , the booster shot of this vaccine got me feeling real bad . I slept all day , just woke , completely …"
1322,1322,"SII seeks approval for Covishield vaccine as booster dose amid #OmicronVarient concerns.

#seruminstituteofindia… https://t.co/226UrdbXwl",2021-12-02 05:29:36,News_24Updates,,approval for vaccine as booster dose amid . …
1323,1323,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-02 05:25:44,nite0wl,"New York, NY",: This is not a surprise but that the is here and been here . What to do now is the same as what we …
1324,1324,RT @electricsoul123: This booster shot got me feeling some type of way. I don't think I'll be sleeping tonight. WHEW!  #BoosterShot #COVID1…,2021-12-02 04:25:23,viralvideovlogs,കേരളം,: This booster shot got me feeling some type of way . I don ' t think I ' be sleeping tonight . WHEW ! COVID …
1325,1325,This booster shot got me feeling some type of way. I don't think I'll be sleeping tonight. WHEW!  #BoosterShot… https://t.co/7VbegU4lTC,2021-12-02 04:25:21,electricsoul123,,This booster shot got me feeling some type of way . I don ' t think I ' be sleeping tonight . WHEW ! …
1326,1326,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-02 04:06:21,Davecat,The land is my habitat,: This is not a surprise but that the is here and been here . What to do now is the same as what we …
1327,1327,Covid Vaccine Booster Shot.☕️ #covid19 #covidvacccine #boostershot https://t.co/MZKr727ZCI,2021-12-02 04:03:56,Fontanilla30,"Auckland, New Zealand",Covid Vaccine Booster Shot .☕️ covid
1328,1328,RT @JewishVoice: Joe Biden Clings to Dr Fauci on Omicron Variant Despite Growing Controversy - https://t.co/14JRqYTVJR @JoeBiden #AnthonyFa…,2021-12-02 03:58:03,destiny_113,,: Joe to on Omicron Variant Despite Growing Controversy - …
1329,1329,Joe Biden Clings to Dr Fauci on Omicron Variant Despite Growing Controversy - https://t.co/14JRqYTVJR @JoeBiden… https://t.co/2DzGQzqnou,2021-12-02 03:55:54,JewishVoice,"New York, NY",Joe to on Omicron Variant Despite Growing Controversy - …
1330,1330,RT @TaisonBell: This is not a surprise but shows that the #OmicronVariant is here and has been here. What to do now is the same as what we…,2021-12-02 03:31:29,surfspup,"Kailua, HI",: This is not a surprise but that the is here and been here . What to do now is the same as what we …
